data_type,time_total,time_increment,time_iosix,sensor_data
obd,26.4362,0.01,2021-12-06 12:01:17.436200,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,26.4461,0.0099,2021-12-06 12:01:17.446100,"{""e_load"": 62.353}"
obd,26.456,0.0099,2021-12-06 12:01:17.456000,"{""c_temp"": 74}"
obd,26.4661,0.0101,2021-12-06 12:01:17.466100,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,26.476,0.0099,2021-12-06 12:01:17.476000,"{""rpm"": 1331.0}"
obd,27.4163,0.0043,2021-12-06 12:01:18.416300,"{""veh_speed"": 44}"
obd,27.4261,0.0098,2021-12-06 12:01:18.426100,"{""aat"": 2}"
obd,27.4359,0.0098,2021-12-06 12:01:18.435900,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,27.446,0.0101,2021-12-06 12:01:18.446000,"{""e_load"": 61.176}"
obd,27.4559,0.0099,2021-12-06 12:01:18.455900,"{""c_temp"": 73}"
obd,27.4659,0.01,2021-12-06 12:01:18.465900,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,27.4759,0.01,2021-12-06 12:01:18.475900,"{""rpm"": 1349.0}"
obd,28.4159,0.0039,2021-12-06 12:01:19.415900,"{""veh_speed"": 45}"
obd,28.4266,0.0107,2021-12-06 12:01:19.426600,"{""aat"": 2}"
obd,28.4359,0.0093,2021-12-06 12:01:19.435900,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,28.4459,0.01,2021-12-06 12:01:19.445900,"{""e_load"": 61.176}"
obd,28.4562,0.0103,2021-12-06 12:01:19.456200,"{""c_temp"": 73}"
obd,28.4659,0.0097,2021-12-06 12:01:19.465900,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,28.4759,0.01,2021-12-06 12:01:19.475900,"{""rpm"": 1365.5}"
obd,29.4162,0.0042,2021-12-06 12:01:20.416200,"{""veh_speed"": 44}"
obd,29.426,0.0098,2021-12-06 12:01:20.426000,"{""aat"": 2}"
obd,29.4357,0.0097,2021-12-06 12:01:20.435700,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,29.4462,0.0105,2021-12-06 12:01:20.446200,"{""e_load"": 11.765}"
obd,29.4557,0.0095,2021-12-06 12:01:20.455700,"{""c_temp"": 73}"
obd,29.4658,0.0101,2021-12-06 12:01:20.465800,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,29.4758,0.01,2021-12-06 12:01:20.475800,"{""rpm"": 1343.0}"
obd,30.4157,0.0037,2021-12-06 12:01:21.415700,"{""veh_speed"": 44}"
obd,30.4257,0.01,2021-12-06 12:01:21.425700,"{""aat"": 2}"
obd,30.4357,0.01,2021-12-06 12:01:21.435700,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,30.4457,0.01,2021-12-06 12:01:21.445700,"{""e_load"": 66.667}"
obd,30.4557,0.01,2021-12-06 12:01:21.455700,"{""c_temp"": 73}"
obd,30.4661,0.0104,2021-12-06 12:01:21.466100,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,30.4756,0.0095,2021-12-06 12:01:21.475600,"{""rpm"": 1358.5}"
obd,31.4155,0.0035,2021-12-06 12:01:22.415500,"{""veh_speed"": 45}"
obd,31.4256,0.0101,2021-12-06 12:01:22.425600,"{""aat"": 2}"
obd,31.4355,0.0099,2021-12-06 12:01:22.435500,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,31.4456,0.0101,2021-12-06 12:01:22.445600,"{""e_load"": 79.608}"
obd,31.4555,0.0099,2021-12-06 12:01:22.455500,"{""c_temp"": 73}"
obd,31.4656,0.0101,2021-12-06 12:01:22.465600,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,31.4755,0.0099,2021-12-06 12:01:22.475500,"{""rpm"": 1380.5}"
obd,32.4155,0.0035,2021-12-06 12:01:23.415500,"{""veh_speed"": 46}"
